花名,日期,區域,檔名,部位,緯度,經度
細枝水合歡,2026-09-21,荷花池邊角落野花園,IMG_8633.jpg,花,,
細枝水合歡,2026-09-21,荷花池邊角落野花園,IMG_8634.jpg,植株,,
細枝水合歡,2026-09-21,荷花池邊角落野花園,IMG_8635.jpg,花,,
細枝水合歡,2026-09-21,荷花池邊角落野花園,IMG_8636.jpg,花,,
基隆紫堇,2025-03-16,台灣地名植物館,IMG_1339.jpg,花,,
基隆紫堇,2025-03-16,台灣地名植物館,IMG_1340.jpg,植株,,
基隆紫堇,2025-03-16,台灣地名植物館,IMG_1341.jpg,花,,
基隆紫堇,2025-03-19,台灣地名植物館,IMG_1425.jpg,花,,
假酸漿,2026-09-24,民族植物區,IMG_8746.jpg,植株,,
柳條省藤,2026-09-24,民族植物區,IMG_8748.jpg,植株,,
山胡椒,2026-09-24,民族植物區,IMG_8750.jpg,植株,,
白背芒,2026-09-24,民族植物區,IMG_8751.jpg,植株,,
印度鞭藤,2026-09-24,民族植物區,IMG_8752.jpg,植株,,
直毛假地豆,2026-09-24,竹區野花園,IMG_8754.jpg,植株,,
直毛假地豆,2026-09-24,竹區野花園,IMG_8757.jpg,花,,
佛萊明豆,2026-09-24,竹區野花園,IMG_8759.jpg,植株,,
台灣萍蓬草,2026-09-24,水生植物區,IMG_8761.jpg,植株,,
大花皇冠草,2026-09-24,水生植物區,IMG_8763.jpg,植株,,
披針葉慈姑,2026-09-24,水生植物區,IMG_8764.jpg,植株,,
囊稃竹,2026-09-24,民族植物區,IMG_8767.jpg,植株,,
克里奧羅可可樹,2026-09-21,方舟溫室後方,IMG_8690.jpg,果,,
小石積,2026-09-24,台灣原生植物區,IMG_8769.jpg,植株,,
新竹腹水草,2026-09-24,台灣原生植物區,IMG_8771.jpg,植株,,
排香草,2026-09-24,台灣原生植物區,IMG_8773.jpg,植株,,
琉球黃楊,2026-09-24,茜草科區,IMG_8774.jpg,植株,,
台灣刺蕊草,2026-09-24,台灣原生植物區,IMG_8775.jpg,植株,,
蘭嶼小鞘蕊花,2026-09-24,台灣原生植物區,IMG_8776.jpg,植株,,
台灣瑞木,2026-09-24,台灣原生植物區,IMG_8777.jpg,植株,,
基隆扁葉芋,2026-09-24,台灣原生植物區,IMG_8778.jpg,植株,,
短莖薩巴爾櫚,2026-09-24,棕櫚區,IMG_8779.jpg,植株,,
大葉釣樟,2026-09-24,棕櫚區,IMG_8781.jpg,植株,,
冬紅花,2026-09-24,棕櫚區,IMG_8782.jpg,植株,,
六角英,2026-09-24,茜草科區,IMG_8785.jpg,植株,,
麥氏野扁豆,2026-09-24,茜草科區,IMG_8786.jpg,植株,,
屏東朝顏,2026-09-24,茜草科區,IMG_8787.jpg,植株,,
鯽魚膽,2026-09-24,茜草科區,IMG_8788.jpg,植株,,
大葉玉葉金花,2026-09-24,茜草科區,IMG_8789.jpg,植株,,
血萼花,2026-09-24,茜草科區,IMG_8790.jpg,植株,,
檄樹,2026-09-24,茜草科區,IMG_8792.jpg,植株,,
大果玉心花,2026-09-24,茜草科區,IMG_8793.jpg,植株,,
紅珊瑚花,2026-09-24,茜草科區,IMG_8796.jpg,植株,,
圓葉雞屎樹,2026-09-24,茜草科區,IMG_8797.jpg,植株,,
假橡膠木,2026-09-24,茜草科區,IMG_8798.jpg,植株,,
大王仙丹,2026-09-24,茜草科區,IMG_8799.jpg,植株,,
狹葉十大功勞,2026-09-24,雙子葉植物區,IMG_8800.jpg,植株,,
稜果榕,2026-09-24,雙子葉植物區,IMG_8801.jpg,植株,,
錫蘭橄欖,2026-09-24,雙子葉植物區,IMG_8802.jpg,植株,,
無憂樹,2026-09-24,雙子葉植物區,IMG_8803.jpg,植株,,
中國無憂樹,2026-09-24,雙子葉植物區,IMG_8804.jpg,植株,,
船子草,2026-09-24,荷花池,IMG_8805.jpg,植株,,
田代氏石斑木,2026-09-24,荷花池,IMG_8806.jpg,植株,,
楓楊,2026-09-24,荷花池,IMG_8808.jpg,植株,,
蘭嶼溲疏,2026-09-24,荷花池邊角落野花園,IMG_8809.jpg,植株,,
刺葉黃褥花,2026-09-24,荷花池邊角落野花園,IMG_8810.jpg,植株,,
水柳,2026-09-24,多肉植物區,IMG_8811.jpg,植株,,
黃果垂榕,2026-09-24,荷花池,IMG_8812.jpg,植株,,
木槿,2026-09-24,荷花池,IMG_8813.jpg,植株,,
水翁,2026-09-24,荷花池,IMG_8816.jpg,植株,,
蘭嶼紫金牛,2026-09-24,荷花池,IMG_8817.jpg,植株,,
接骨木,2026-09-24,荷花池,IMG_8818.jpg,植株,,
錐頭麻,2026-09-24,荷花池,IMG_8819.jpg,植株,,
桂葉黃梅,2026-09-24,荷花池,IMG_8820.jpg,植株,,
烏來杜鵑,2026-09-24,雙子葉植物區,IMG_8821.jpg,植株,,
蘭嶼肉豆蔻,2026-09-24,荷花池,IMG_8822.jpg,植株,,
朝鮮紫珠,2026-09-24,雙子葉植物區,IMG_8823.jpg,植株,,
火棘,2026-09-24,雙子葉植物區,IMG_8824.jpg,植株,,
梅花,2026-09-24,雙子葉植物區,IMG_8825.jpg,植株,,
蝙蝠花,2026-09-24,天南星科區,IMG_8826.jpg,植株,,
雉尾花燭,2026-09-24,天南星科區,IMG_8827.jpg,植株,,
大風子,2026-09-24,雙子葉植物區,IMG_8828.jpg,植株,,
蔓性野牡丹,2026-09-24,茜草科區,IMG_8830.jpg,植株,,
雀舌黃楊,2026-09-24,茜草科區,IMG_8832.jpg,植株,,
毛菍,2026-09-24,茜草科區,IMG_8833.jpg,植株,,
阿里山女貞,2026-09-24,茜草科區,IMG_8834.jpg,植株,,
海檬果,2026-09-24,茜草科區,IMG_8835.jpg,植株,,
台灣山茶,2026-09-24,台灣地名植物館,IMG_8837.jpg,植株,,
阿薩姆茶,2026-09-24,方舟溫室後方,IMG_8838.jpg,植株,,
恆春山茶,2026-09-24,台灣地名植物館,IMG_8839.jpg,植株,,
日本山茶,2026-09-24,方舟溫室左前方,IMG_8840.jpg,植株,,
藝妓咖啡,2026-09-24,台灣地名植物館,IMG_8841.jpg,植株,,
